H Mass Fractions
H 1 Msun, Z=0.0060 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 2.721E-28 & \\ 
 & I-133     & 1.578E-18 & \\ 
 & I-134     & 1.874E-25 & \\ 
 & I-135     & 3.568E-21 & \\ 
 & Xe-118    & 1.000E-99 & \\ 
 & Xe-119    & 1.000E-99 & \\ 
 & Xe-120    & 1.000E-99 & \\ 
 & Xe-121    & 1.000E-99 & \\ 
 & Xe-122    & 1.000E-99 & \\ 
 & Xe-123    & 1.000E-99 & \\ 
 & Xe-124    & 3.479E-14 & \\ 
 & Xe-125    & 3.288E-24 & \\ 
 & Xe-126    & 3.152E-14 & \\ 
 & Xe-127    & 1.964E-17 & \\ 
 & Xe-128    & 3.097E-11 & \\ 
 & Xe-129    & 1.874E-11 & \\ 
 & Xe-130    & 7.780E-11 & \\ 
 & Xe-131    & 5.683E-11 & \\ 
 & Xe-132    & 2.134E-10 & \\ 
 & Xe-133    & 8.706E-15 & \\ 
 & Xe-134    & 4.104E-10 & \\ 
 & Xe-135    & 1.689E-19 & \\ 
 & Xe-136    & 3.122E-10 & \\ 
 & Xe-137    & 4.864E-29 & \\ 
 & Xe-138    & 5.111E-31 & \\ 
 & Cs-123    & 1.000E-99 & \\ 
 & Cs-124    & 1.000E-99 & \\ 
 & Cs-125    & 1.000E-99 & \\ 
 & Cs-126    & 1.000E-99 & \\ 
 & Cs-127    & 1.000E-99 & \\ 
 & Cs-128    & 1.000E-99 & \\ 
 & Cs-129    & 1.000E-99 & \\ 
 & Cs-130    & 1.000E-99 & \\ 
 & Cs-131    & 2.079E-19 & \\ 
 & Cs-132    & 3.768E-22 & \\ 
 & Cs-133    & 7.673E-11 & \\ 
 & Cs-134    & 9.033E-12 & \\ 
 & Cs-135    & 1.050E-10 & \\ 
 & Cs-136    & 2.584E-13 & \\ 
 & Cs-137    & 5.203E-10 & \\ 
 & Cs-138    & 5.196E-26 & \\ 
 & Cs-139    & 1.227E-29 & \\ 
 & Ba-124    & 1.000E-99 & \\ 
 & Ba-125    & 1.000E-99 & \\ 
 & Ba-126    & 1.000E-99 & \\ 
 & Ba-127    & 1.000E-99 & \\ 
 & Ba-128    & 1.000E-99 & \\ 
 & Ba-129    & 1.000E-99 & \\ 
 & Ba-130    & 2.854E-14 & \\ 
 & Ba-131    & 9.563E-20 & \\ 
 & Ba-132    & 2.826E-14 & \\ 
 & Ba-133    & 6.610E-17 & \\ 
 & Ba-134    & 9.639E-12 & \\ 
 & Ba-135    & 4.393E-12 & \\ 
 & Ba-136    & 1.106E-10 & \\ 
 & Ba-137    & 6.603E-11 & \\ 
 & Ba-138    & 1.877E-09 & \\ 
 & Ba-139    & 9.267E-24 & \\ 
 & Ba-140    & 1.094E-13 & \\ 
 & Ba-141    & 3.268E-28 & \\ 
 & Ba-142    & 1.976E-30 & \\ 
 & La-127    & 1.000E-99 & \\ 
 & La-128    & 1.000E-99 & \\ 
 & La-129    & 1.000E-99 & \\ 
 & La-130    & 1.000E-99 & \\ 
