H Mass Fractions
H 3 Msun, Z=0.0001 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & Sn-111    & 1.000E-99 & \\ 
 & Sn-112    & 1.206E-13 & \\ 
 & Sn-113    & 1.926E-32 & \\ 
 & Sn-114    & 8.340E-14 & \\ 
 & Sn-115    & 4.328E-14 & \\ 
 & Sn-116    & 2.922E-11 & \\ 
 & Sn-117    & 1.157E-11 & \\ 
 & Sn-118    & 5.228E-11 & \\ 
 & Sn-119    & 1.561E-11 & \\ 
 & Sn-120    & 7.723E-11 & \\ 
 & Sn-121    & 2.022E-33 & \\ 
 & Sn-122    & 4.571E-11 & \\ 
 & Sn-123    & 1.973E-27 & \\ 
 & Sn-124    & 9.592E-12 & \\ 
 & Sn-125    & 1.490E-34 & \\ 
 & Sn-126    & 2.553E-13 & \\ 
 & Sn-127    & 1.000E-99 & \\ 
 & Sn-128    & 1.000E-99 & \\ 
 & Sn-129    & 1.000E-99 & \\ 
 & Sn-130    & 1.000E-99 & \\ 
 & Sb-112    & 1.000E-99 & \\ 
 & Sb-113    & 1.000E-99 & \\ 
 & Sb-114    & 1.000E-99 & \\ 
 & Sb-115    & 1.000E-99 & \\ 
 & Sb-116    & 1.000E-99 & \\ 
 & Sb-117    & 1.000E-99 & \\ 
 & Sb-118    & 1.000E-99 & \\ 
 & Sb-119    & 1.000E-99 & \\ 
 & Sb-120    & 1.000E-99 & \\ 
 & Sb-121    & 6.909E-12 & \\ 
 & Sb-122    & 2.865E-33 & \\ 
 & Sb-123    & 5.003E-12 & \\ 
 & Sb-124    & 2.024E-35 & \\ 
 & Sb-125    & 2.451E-16 & \\ 
 & Sb-126    & 1.308E-19 & \\ 
 & Sb-127    & 7.035E-38 & \\ 
 & Sb-128    & 1.000E-99 & \\ 
 & Sb-129    & 1.000E-99 & \\ 
 & Sb-130    & 1.000E-99 & \\ 
 & Sb-131    & 1.000E-99 & \\ 
 & Sb-132    & 1.000E-99 & \\ 
 & Sb-133    & 1.000E-99 & \\ 
 & Te-114    & 1.000E-99 & \\ 
 & Te-115    & 1.000E-99 & \\ 
 & Te-116    & 1.000E-99 & \\ 
 & Te-117    & 1.000E-99 & \\ 
 & Te-118    & 1.000E-99 & \\ 
 & Te-119    & 1.000E-99 & \\ 
 & Te-120    & 1.608E-14 & \\ 
 & Te-121    & 1.000E-99 & \\ 
 & Te-122    & 8.595E-12 & \\ 
 & Te-123    & 2.846E-12 & \\ 
 & Te-124    & 2.212E-11 & \\ 
 & Te-125    & 8.562E-12 & \\ 
 & Te-126    & 4.094E-11 & \\ 
 & Te-127    & 2.040E-34 & \\ 
 & Te-128    & 1.520E-11 & \\ 
 & Te-129    & 2.090E-37 & \\ 
 & Te-130    & 7.936E-12 & \\ 
 & Te-131    & 1.000E-99 & \\ 
 & Te-132    & 1.000E-99 & \\ 
 & Te-133    & 1.000E-99 & \\ 
 & Te-134    & 1.000E-99 & \\ 
 & I-117     & 1.000E-99 & \\ 
 & I-118     & 1.000E-99 & \\ 
 & I-119     & 1.000E-99 & \\ 
 & I-120     & 1.000E-99 & \\ 
 & I-121     & 1.000E-99 & \\ 
 & I-122     & 1.000E-99 & \\ 
 & I-123     & 1.000E-99 & \\ 
 & I-124     & 1.000E-99 & \\ 
 & I-125     & 3.583E-34 & \\ 
 & I-126     & 1.000E-99 & \\ 
 & I-127     & 6.439E-12 & \\ 
 & I-128     & 2.800E-36 & \\ 
 & I-129     & 3.948E-13 & \\ 
 & I-130     & 1.000E-99 & \\ 
 & I-131     & 1.750E-34 & \\ 
 & I-132     & 1.000E-99 & \\ 
 & I-133     & 1.000E-99 & \\ 
 & I-134     & 1.000E-99 & \\ 
 & I-135     & 1.000E-99 & \\ 
 & Xe-118    & 1.000E-99 & \\ 
 & Xe-119    & 1.000E-99 & \\ 
 & Xe-120    & 1.000E-99 & \\ 
 & Xe-121    & 1.000E-99 & \\ 
 & Xe-122    & 1.000E-99 & \\ 
 & Xe-123    & 1.000E-99 & \\ 
 & Xe-124    & 2.183E-14 & \\ 
 & Xe-125    & 1.000E-99 & \\ 
 & Xe-126    & 1.926E-14 & \\ 
 & Xe-127    & 1.639E-42 & \\ 
 & Xe-128    & 1.125E-11 & \\ 
 & Xe-129    & 9.670E-12 & \\ 
 & Xe-130    & 2.372E-11 & \\ 
 & Xe-131    & 1.274E-11 & \\ 
 & Xe-132    & 4.605E-11 & \\ 
 & Xe-133    & 4.514E-33 & \\ 
 & Xe-134    & 3.289E-11 & \\ 
 & Xe-135    & 1.588E-35 & \\ 
 & Xe-136    & 1.339E-11 & \\ 
 & Xe-137    & 1.000E-99 & \\ 
 & Xe-138    & 1.000E-99 & \\ 
 & Cs-123    & 1.000E-99 & \\ 
 & Cs-124    & 1.000E-99 & \\ 
 & Cs-125    & 1.000E-99 & \\ 
 & Cs-126    & 1.000E-99 & \\ 
 & Cs-127    & 1.000E-99 & \\ 
 & Cs-128    & 1.000E-99 & \\ 
 & Cs-129    & 1.000E-99 & \\ 
 & Cs-130    & 1.000E-99 & \\ 
 & Cs-131    & 1.000E-99 & \\ 
 & Cs-132    & 1.000E-99 & \\ 
 & Cs-133    & 7.731E-12 & \\ 
 & Cs-134    & 4.896E-17 & \\ 
 & Cs-135    & 9.212E-12 & \\ 
 & Cs-136    & 6.304E-33 & \\ 
 & Cs-137    & 1.073E-11 & \\ 
 & Cs-138    & 1.000E-99 & \\ 
 & Cs-139    & 1.000E-99 & \\ 
 & Ba-124    & 1.000E-99 & \\ 
 & Ba-125    & 1.000E-99 & \\ 
 & Ba-126    & 1.000E-99 & \\ 
 & Ba-127    & 1.000E-99 & \\ 
 & Ba-128    & 1.000E-99 & \\ 
 & Ba-129    & 1.000E-99 & \\ 
 & Ba-130    & 1.792E-14 & \\ 
 & Ba-131    & 1.000E-99 & \\ 
 & Ba-132    & 1.741E-14 & \\ 
 & Ba-133    & 3.731E-26 & \\ 
 & Ba-134    & 1.112E-11 & \\ 
 & Ba-135    & 4.394E-12 & \\ 
 & Ba-136    & 3.236E-11 & \\ 
 & Ba-137    & 7.355E-11 & \\ 
 & Ba-138    & 2.146E-10 & \\ 
 & Ba-139    & 2.922E-36 & \\ 
 & Ba-140    & 1.000E-99 & \\ 
 & Ba-141    & 1.000E-99 & \\ 
 & Ba-142    & 1.000E-99 & \\ 
 & La-127    & 1.000E-99 & \\ 
 & La-128    & 1.000E-99 & \\ 
 & La-129    & 1.000E-99 & \\ 
